Product Name,Category,Wholesale,Retail,Multiplier,VSP Code,VSP Coverage,EyeMed Coverage,Spectera Coverage
Varilux Stylistic Wrap,ADDON,$146.10,$292.20,2.0,TA,80% U&C,20% off retail,20% off retail
Slab-Off per lens,ADDON,$111.30,$222.60,2.0,--,Not Available,Not Available,Not Available
Polarized w/ Xperio UV / Xperio UV Mirror,ADDON,$109.90,$219.80,2.0,DA+BV,Copay per chart,20% off retail,20% off retail
Essilor Ideal Advanced Wrap,ADDON,$104.00,$208.00,2.0,JA,Progressive J copay,Tier 2 copay,Tier II copay
Myodisc & Lenticular Grind,ADDON,$90.40,$180.80,2.0,Lenticular,Covered - no charge,20% off retail,20% off retail
Polarized,ADDON,$50.00,$150.00,3.0,DA,Copay per chart,20% off retail,20% off retail
Double Side Grind,ADDON,$32.60,$65.20,2.0,--,Private pay,Private pay,Private pay
Bi-Concave,ADDON,$16.00,$48.00,3.0,--,Private pay,Private pay,Private pay
Adds Over 4.00 Per Pair,ADDON,$13.20,$39.60,3.0,--,Lab surcharge,Lab surcharge,Lab surcharge
Adds Over 3.00 Per Pair,ADDON,$11.00,$33.00,3.0,--,Lab surcharge,Lab surcharge,Lab surcharge
Frosted Lens (Each Lens),ADDON,$13.80,$27.60,2.0,--,Included in base,Private pay,Private pay
Special Base Curve - MF,ADDON,$12.20,$24.40,2.0,TA,Technical Add-on,Lab surcharge,Lab surcharge
Special Base Curve - SV,ADDON,$10.00,$20.00,2.0,TA,Technical Add-on,Lab surcharge,Lab surcharge
Spheres over Base Range Per D Per Pair,ADDON,$7.50,$15.00,2.0,--,Lab surcharge,Lab surcharge,Lab surcharge
Cylinder over Base Range Per D Per Pair,ADDON,$7.50,$15.00,2.0,--,Lab surcharge,Lab surcharge,Lab surcharge
Prism over Base Range Per D Per Lens,ADDON,$4.10,$8.20,2.0,--,Lab surcharge,Lab surcharge,Lab surcharge
UNCUT Deduct,ADDON,-$10.00,-$20.00,2.0,--,Deduction,Deduction,Deduction
Style Mirrors (Add to XTRActive),TINT,$37.00,$74.00,2.0,QR,Ski Type - copay,20% off retail,20% off retail
Mirror - Solid Color,TINT,$20.00,$60.00,3.0,QP,Copay per chart,20% off retail,20% off retail
Mirror - Gradient,TINT,$29.20,$58.40,2.0,QP,Copay per chart,20% off retail,20% off retail
Gradient Tint,TINT,$16.00,$48.00,3.0,MP,Copay per chart,20% off retail,20% off retail
Gradient (Lens),TINT,$15.00,$45.00,3.0,MP,Copay per chart,20% off retail,20% off retail
Solid Tint,TINT,$13.36,$40.08,3.0,MN,Copay per chart,20% off retail,20% off retail
Multi-Gradient / Double Tints,TINT,$17.20,$34.40,2.0,MP,Copay per chart,20% off retail,20% off retail
